时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,0.0,1.0,0.0,1.0,141.08430073268906,112.87199538057011,0.0,23.8128,117.27150073268905,-29.34630772844479,23.8128,118.4055031090149,25.766765705031013,-0.3775901663464332,60.47350083453284,0.0
2,0.0,1.0,0.0,1.0,133.83758761215424,132.85882338105,0.0,32.668800000000005,101.16878761215423,-0.8440119457269408,32.668800000000005,101.03403532677694,25.798207329017277,-0.013893200752706844,57.21153631832453,0.0
3,-0.1666666666666668,0.8333333333333333,-0.09090909090909098,0.9090909090909091,70.5756408340485,82.68969919349318,-9.400000000000007,23.944,56.0316408340485,-6.5512654023374,26.12072727272727,63.12023732310332,24.206257602049135,-0.11615718798470567,31.752453291630363,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.2857142857142858,0.7142857142857142,-0.19348013879093795,0.806519861209062,43.813771948227426,60.224021658603355,-14.948571428571434,8.146114285714283,50.61622909108458,-6.154695467400572,9.198004148350421,57.180712977653506,19.90084954395447,-0.1176356167316623,24.509505550447305,0.0
6,-0.3145833333333333,0.6666666666666667,-0.2669642857142858,0.7142857142857142,11.84375771776704,15.618516171312605,-15.6945625,16.813280000000002,10.725040217767038,-13.502394057004691,18.014228571428568,11.106681656888728,19.130979841685146,-0.27064329639215656,40.90601536776046,0.0
7,-0.12451923076923077,0.8754807692307691,-0.07756584567121577,0.9224341543287842,68.83783774260394,82.55747040614449,-5.923379807692307,15.670195269230767,59.091022281065484,-0.8323367703427139,16.510612030964733,66.87919514552247,28.20193432915126,-0.017497094184206724,38.68424690611248,0.0
8,-0.28244222689075643,1.5975577731092434,-0.13868207549595185,1.7413179245040482,128.0837843636455,162.78179844977936,-14.218141701680679,36.281687268907554,106.02023879641861,-0.8517588402477434,39.54658381439258,124.08697347563452,52.32558001705062,-0.016920119989029467,35.48014113903551,0.0
9,-0.4204283380018675,2.339571661998132,-0.3023337762388423,2.4576662237611577,121.09053434575644,155.71176778136808,-25.179453162931846,43.510417941176456,102.75956956751183,-14.605840210377098,45.7066933630205,124.61091462872467,78.17105454476855,-0.24387777943524958,51.883440894658015,0.0
10,0.17001076486336886,3.8100107648633688,0.33764626940448617,3.977646269404486,425.17009824826755,390.28938594159683,12.390384543242321,160.27191283474247,252.50780087028275,-37.97579300565522,167.3236679687691,260.94151097848294,96.4307135914571,-0.5210729007362133,80.42570065507151,0.0
