时段,资源类型,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率
1,PV,5.886792151227055e-17,6.713559300749462e-17,5.886792151227055e-17,6.713559300749462e-17
1,ES,-0.0001358051631128099,1.000051659887823,-0.0001358051631128099,1.000051659887823
1,EV,2.1094706535119586e-05,1.6057463887903735e-06,2.1094706535119586e-05,1.6057463887903735e-06
2,PV,-1.723455808882717e-17,-6.71355930074946e-17,0.0,0.0
2,ES,-0.00011080856888772569,1.0000390345285606,0.0,0.0
2,EV,2.0987017142536476e-05,3.6737623544614245e-06,-6.770676553792595e-10,-1.1839556675707448e-10
3,PV,8.057817330911465e-18,2.23785310024982e-17,3.579022967724249e-20,1.7370543419299733e-19
3,ES,-0.16452264407142292,0.8356484667912961,-0.04888800013054013,0.9511194857019049
3,EV,2.11658056772102e-05,-8.399814402937479e-07,1.8578867056265846e-06,-7.182277926838931e-08
4,PV,1.0408340855860843e-17,-3.748403897991964e-124,0.0,0.0
4,ES,-2.0398264069796065e-06,-1.4677543344839543e-06,0.0,0.0
4,EV,2.1104061120435925e-05,-3.4038867927718255e-07,-2.534829010996373e-09,4.1976254642471656e-11
5,PV,3.0531133177191815e-16,-4.317325757491412e-112,2.787053963797758e-19,1.2373970260369585e-18
5,ES,-0.2854592661247828,0.7145685598774549,-0.23081887241448876,0.7691819088266691
5,EV,2.0907846574104873e-05,2.8350540169628463e-06,-1.5253459516141597e-07,-2.0574202075137726e-08
6,PV,0.018750000000000135,2.0414797316164115e-16,0.018749999999999996,2.684206216794317e-19
6,ES,-0.29082947106755197,0.5819206562608478,-0.023833306104271333,0.04767351992930372
6,EV,2.0756214377760392e-05,4.7484076756300554e-06,5.470095571326636e-08,1.2453413412723846e-08
7,PV,0.10624999999999335,0.1062500000000044,0.0,0.0
7,ES,-0.23123924719503694,0.7687064772946477,0.0,0.0
7,EV,2.0743055959081344e-05,3.3370901378733345e-06,-4.7399487857723495e-09,-7.58376215731851e-10
8,PV,0.36562500000001025,0.36562499999999576,0.36562499999999976,0.365625
8,ES,-0.28561013376839167,0.7143951273989146,-0.24090494122723333,0.7590702562194405
8,EV,-0.36215882635370045,0.5177301858268588,-0.36230118451429755,0.5176647407570872
